Permission	Allowed	Denied
Audience Builder	true	false
Audience Builder - General	true	false
Audience Builder - General - Access	true	false
Audience Builder - General - Admin	true	false
Audience Builder - General - Config Tools	true	false
Audience Builder - General - Create	true	false
Audience Builder - Owned Audiences	true	false
Audience Builder - Owned Audiences - Delete	true	false
Audience Builder - Owned Audiences - Edit	true	false
Audience Builder - Owned Audiences - Copy	true	false
Audience Builder - Owned Audiences - Refresh	true	false
Audience Builder - Owned Audiences - Publish	true	false
Audience Builder - Others Audiences	true	false
Audience Builder - Others Audiences - Delete	true	false
Audience Builder - Others Audiences - Edit	true	false
Audience Builder - Others Audiences - Copy	true	false
Audience Builder - Others Audiences - Refresh	true	false
Audience Builder - Others Audiences - Publish	true	false
Audience Builder - Others Audiences - ViewOnly	true	false
Audience Builder - Data Factory Utility Tools	true	false
Audience Builder - Data Factory Utility Tools - Access	true	false
Audience Builder - Tools	false	false
Audience Builder - Tools - Manage Attributes	false	false
SocialEngage	true	false
SocialEngage - Access	true	false
SocialEngage - Perform Workgroup Leader Role	true	false
Salesforce Marketing Cloud	true	false
Salesforce Marketing Cloud - Campaigns	true	false
Salesforce Marketing Cloud - Campaigns - General	false	false
Salesforce Marketing Cloud - Campaigns - General - Access	false	false
Salesforce Marketing Cloud - Campaigns - General - Delete	true	false
Salesforce Marketing Cloud - Campaigns - General - Create and Edit	true	false
Salesforce Marketing Cloud - Campaigns - General - Associate	true	false
Salesforce Marketing Cloud - Campaigns - General - Administer	true	false
Salesforce Marketing Cloud - Campaigns - General - Assign	true	false
Salesforce Marketing Cloud - Campaigns - Comments	false	false
Salesforce Marketing Cloud - Campaigns - Comments - View	false	false
Salesforce Marketing Cloud - Campaigns - Comments - Create	false	false
Salesforce Marketing Cloud - Campaigns - Comments - Update	false	false
Salesforce Marketing Cloud - Campaigns - Comments - Delete	false	false
Salesforce Marketing Cloud - Campaigns - Linked Assets	false	false
Salesforce Marketing Cloud - Campaigns - Linked Assets - Create	false	false
Salesforce Marketing Cloud - Campaigns - Linked Assets - View	false	false
