Index,PermissionPath,AllowID,DenyID,AllowValue,DenyValue
1,"Audience Builder",a_1,d_1,FALSE,FALSE
2,"Audience Builder - General",a_2,d_2,FALSE,FALSE
3,"Audience Builder - General - Access",a_3,d_3,TRUE,FALSE
4,"Audience Builder - General - Admin",a_4,d_4,TRUE,FALSE
5,"Audience Builder - General - Config Tools",a_5,d_5,TRUE,FALSE
6,"Audience Builder - General - Create",a_6,d_6,TRUE,FALSE
7,"Audience Builder - Owned Audiences",a_7,d_7,FALSE,FALSE
8,"Audience Builder - Owned Audiences - Delete",a_8,d_8,TRUE,FALSE
9,"Audience Builder - Owned Audiences - Edit",a_9,d_9,TRUE,FALSE
10,"Audience Builder - Owned Audiences - Copy",a_10,d_10,TRUE,FALSE
11,"Audience Builder - Owned Audiences - Refresh",a_11,d_11,TRUE,FALSE
12,"Audience Builder - Owned Audiences - Publish",a_12,d_12,TRUE,FALSE
13,"Audience Builder - Others Audiences",a_13,d_13,FALSE,FALSE
14,"Audience Builder - Others Audiences - Delete",a_14,d_14,FALSE,FALSE
15,"Audience Builder - Others Audiences - Edit",a_15,d_15,FALSE,FALSE
16,"Audience Builder - Others Audiences - Copy",a_16,d_16,FALSE,FALSE
17,"Audience Builder - Others Audiences - Refresh",a_17,d_17,FALSE,FALSE
18,"Audience Builder - Others Audiences - Publish",a_18,d_18,FALSE,FALSE
19,"Audience Builder - Others Audiences - ViewOnly",a_19,d_19,FALSE,FALSE
20,"Audience Builder - Data Factory Utility Tools",a_20,d_20,FALSE,FALSE
21,"Audience Builder - Data Factory Utility Tools - Access",a_21,d_21,FALSE,FALSE
22,"Audience Builder - Tools",a_22,d_22,FALSE,FALSE
23,"Audience Builder - Tools - Manage Attributes",a_23,d_23,TRUE,FALSE
24,"Audience Builder - Audience Builder Offloading Utilization Tool",a_24,d_24,FALSE,FALSE
25,"Audience Builder - Audience Builder Offloading Utilization Tool - Access",a_25,d_25,FALSE,FALSE
26,"SocialEngage",a_26,d_26,FALSE,FALSE
27,"SocialEngage - Access",a_27,d_27,TRUE,FALSE
28,"SocialEngage - Perform Workgroup Leader Role",a_28,d_28,TRUE,FALSE
29,"Salesforce Marketing Cloud",a_29,d_29,FALSE,FALSE
30,"Salesforce Marketing Cloud - Campaigns",a_30,d_30,FALSE,FALSE
31,"Salesforce Marketing Cloud - Campaigns - General",a_31,d_31,FALSE,FALSE
32,"Salesforce Marketing Cloud - Campaigns - General - Access",a_32,d_32,TRUE,FALSE
