Permission	Allowed	Denied
Audience Builder	false	false
Audience Builder - General	false	false
Audience Builder - General - Access	true	false
Audience Builder - General - Admin	false	false
Audience Builder - General - Config Tools	true	false
Audience Builder - General - Create	true	false
Audience Builder - Owned Audiences	false	false
Audience Builder - Owned Audiences - Delete	true	false
Audience Builder - Owned Audiences - Edit	true	false
Audience Builder - Owned Audiences - Copy	true	false
Audience Builder - Owned Audiences - Refresh	true	false
Audience Builder - Owned Audiences - Publish	true	false
Audience Builder - Others Audiences	false	false
Audience Builder - Others Audiences - Delete	false	false
Audience Builder - Others Audiences - Edit	false	false
Audience Builder - Others Audiences - Copy	false	false
Audience Builder - Others Audiences - Refresh	false	false
Audience Builder - Others Audiences - Publish	false	false
Audience Builder - Others Audiences - ViewOnly	false	false
Audience Builder - Data Factory Utility Tools	false	false
Audience Builder - Data Factory Utility Tools - Access	false	false
Audience Builder - Tools	false	false
Audience Builder - Tools - Manage Attributes	false	false
Audience Builder - Audience Builder Offloading Utilization Tool	false	false
Audience Builder - Audience Builder Offloading Utilization Tool - Access	false	false
SocialEngage	false	false
SocialEngage - Access	true	false
SocialEngage - Perform Workgroup Leader Role	true	false
Salesforce Marketing Cloud	false	false
Salesforce Marketing Cloud - Campaigns	false	false
Salesforce Marketing Cloud - Campaigns - General	false	false
Salesforce Marketing Cloud - Campaigns - General - Access	true	false
Salesforce Marketing Cloud - Campaigns - General - Delete	true	false
Salesforce Marketing Cloud - Campaigns - General - Create and Edit	true	false
Salesforce Marketing Cloud - Campaigns - General - Associate	true	false
Salesforce Marketing Cloud - Campaigns - General - Administer	false	false
Salesforce Marketing Cloud - Campaigns - General - Assign	true	false
Salesforce Marketing Cloud - Campaigns - Comments	false	false
Salesforce Marketing Cloud - Campaigns - Comments - View	false	false
Salesforce Marketing Cloud - Campaigns - Comments - Create	false	false
Salesforce Marketing Cloud - Campaigns - Comments - Update	false	false
Salesforce Marketing Cloud - Campaigns - Comments - Delete	false	false
Salesforce Marketing Cloud - Campaigns - Linked Assets	false	false
Salesforce Marketing Cloud - Campaigns - Linked Assets - Create	false	false
Salesforce Marketing Cloud - Campaigns - Linked Assets - View	false	false
Salesforce Marketing Cloud - Campaigns - Linked Assets - Update	false	false
Salesforce Marketing Cloud - Campaigns - Linked Assets - Delete	false	false
Salesforce Marketing Cloud - Calendar	false	false
Salesforce Marketing Cloud - Calendar - Delete Event	true	false
Salesforce Marketing Cloud - Calendar - Create and Edit	true	false
Salesforce Marketing Cloud - Contacts	false	false
Salesforce Marketing Cloud - Contacts - Create/Update Contact List	true	false
Salesforce Marketing Cloud - Contacts - Read Contact Data	true	false
Salesforce Marketing Cloud - Contacts - Import Contact List	true	false
Salesforce Marketing Cloud - Contacts - Create/Update Contact Data	true	false
Salesforce Marketing Cloud - Contacts - Create Suppression List	false	false
Salesforce Marketing Cloud - Contacts - View Encrypted Data	false	false
Salesforce Marketing Cloud - Pulse	false	false
Salesforce Marketing Cloud - Pulse - Edit Personal Pulse Settings	true	false
Salesforce Marketing Cloud - Security	false	false
Salesforce Marketing Cloud - Security - Administer Watchdog	false	false
Salesforce Marketing Cloud - Security - MutualSSL	false	false
Salesforce Marketing Cloud - General	false	false
Salesforce Marketing Cloud - General - Access	true	false
Salesforce Marketing Cloud - General - Pulse Access	true	false
Salesforce Marketing Cloud - General - Calendar Access	true	false
Salesforce Marketing Cloud - General - Assign Marketing Cloud Roles	false	false
Salesforce Marketing Cloud - Playbooks	false	false
Salesforce Marketing Cloud - Playbooks - Access	true	false
Marketo	false	false
Marketo - Access	true	false
DeveloperApp	false	false
DeveloperApp - Access	false	false
MobileConnect	false	false
MobileConnect - General	false	false
MobileConnect - General - Access	true	false
MobileConnect - General - Administer SMS Channel	true	false
